"text","intent","sentiment","priority"
"عادي لو اتأخر بس حابب أعرف الموعد التقريبي في انتظار ردكم","track_order","neutral","low"
"عادي لو اتاخر بس حابب أعرف الموعد التقريبي وشكراً لتعاونكم","track_order","neutral","low"
"معلش، عادي لو اتاخر بس حابب أعرف الموعد التقريبي ياريت حد يرد عليا","track_order","neutral","low"
"عادي لو اتاخر بس حابب أعرف الموعد التقريبي","track_order","neutral","low"
"لو سمحت، عادي لو اتاخر بس حابب أعرف الموعد التقريبي وشكراً لتعاونكم","track_order","neutral","low"
"على فكرة، عادي لو اتاخر بس حابب أعرف الموعد التقريبي","track_order","neutral","low"
"معلش، عادي لو اتاخر بس حابب أعرف الموعد التقريبي في انتظار ردكم","track_order","neutral","low"
"بجد عادي لو اتأخر بس حابب أعرف الموعد التقريبي ياريت حد يرد عليا","track_order","neutral","low"
"من فضلك، عادي لو اتاخر بس حابب أعرف الموعد التقريبي وشكراً لتعاونكم","track_order","neutral","low"
"لو سمحت، عادي لو اتأخر بس حابب أعرف الموعد التقريبي برجاء الإفادة","track_order","neutral","low"
"لو سمحت، ممكن أعرف رقم تتبع الشحنة؟ ياريت حد يرد عليا","track_order","neutral","medium"
"معلش، ممكن أعرف رقم تتبع الشحنه؟ برجاء الإفادة","track_order","neutral","medium"
"من فضلك، ممكن أعرف رقم تتبع الشحنه؟ برجاء الإفادة","track_order","neutral","medium"
"على فكرة، ممكن أعرف رقم تتبع الشحنة؟","track_order","neutral","medium"
"معلش، ممكن أعرف رقم تتبع الشحنه؟","track_order","neutral","medium"
"ممكن أعرف رقم تتبع الشحنه؟ برجاء الإفادة","track_order","neutral","medium"
"طب ممكن أعرف رقم تتبع الشحنة؟ برجاء الإفادة","track_order","neutral","medium"
"لو سمحت، ممكن أعرف رقم تتبع الشحنة؟ في انتظار ردكم","track_order","neutral","medium"
"على فكرة، ممكن أعرف رقم تتبع الشحنه؟ وشكراً لتعاونكم","track_order","neutral","medium"
"على فكرة، ممكن أعرف رقم تتبع الشحنة؟ ياريت حد يرد عليا","track_order","neutral","medium"
"طب ممكن أعرف رقم تتبع الشحنه؟","track_order","neutral","medium"
"ممكن أعرف رقم تتبع الشحنه؟ في انتظار ردكم","track_order","neutral","medium"
"لو سمحت، الاوردر #1003 لسه ما وصلش وأنا مستني بقالي كتير في انتظار ردكم","track_order","negative","high"
"لو سمحت، الأوردر #1003 لسا ما وصلش وأنا مستني بقالي كتير برجاء الإفادة","track_order","negative","high"
"بجد الأوردر #1003 لسه ما وصلش وأنا مستني بقالي كتير ياريت حد يرد عليا","track_order","negative","high"
"الأوردر #1002 لسه ما وصلش وأنا مستني بقالي كتير وشكراً لتعاونكم","track_order","negative","high"
"على فكرة، الاوردر #1001 لسه ما وصلش وأنا مستني بقالي كتير برجاء الإفادة","track_order","negative","high"
"الأوردر #1003 لسه ما وصلش وأنا مستني بقالي كتير في انتظار ردكم","track_order","negative","high"
"بجد الاوردر #1001 لسه ما وصلش وأنا مستني بقالي كتير ياريت حد يرد عليا","track_order","negative","high"
"على فكرة، الأوردر #1002 لسه ما وصلش وأنا مستني بقالي كتير","track_order","negative","high"
"لو سمحت، الأوردر #1003 لسه ما وصلش وأنا مستني بقالي كتير ياريت حد يرد عليا","track_order","negative","high"
"معلش، الأوردر #1001 لسه ما وصلش وأنا مستني بقالي كتير ياريت حد يرد عليا","track_order","negative","high"
"من فضلك، الأوردر #1003 لسه ما وصلش وأنا مستني بقالي كتير برجاء الإفادة","track_order","negative","high"
"معلش، الأوردر #1003 لسه ما وصلش وأنا مستني بقالي كتير","track_order","negative","high"
"الأوردر #1001 لسا ما وصلش وأنا مستني بقالي كتير في انتظار ردكم","track_order","negative","high"
"معلش، الاوردر #1003 لسه ما وصلش وأنا مستني بقالي كتير برجاء الإفادة","track_order","negative","high"
"بجد أنا مستني الـكيبورد ده من مدة طويلة جداً ياريت حد يرد عليا","track_order","negative","high"
"من فضلك، أنا مستني الـباور بانك ده من مدة طويلة جداً ياريت حد يرد عليا","track_order","negative","high"
"لو سمحت، أنا مستني الـموبايل ده من مدة طويلة جداً","track_order","negative","high"
"بجد أنا مستني الـهيدفون ده من مدة طويلة جداً برجاء الإفادة","track_order","negative","high"
"طب أنا مستني الـشاحن ده من مدة طويلة جداً برجاء الإفادة","track_order","negative","high"
"طب أنا مستني الـماوس ده من مدة طويلة جداً","track_order","negative","high"
"بجد أنا مستني الـباور بانك ده من مدة طويلة جداً في انتظار ردكم","track_order","negative","high"
"على فكرة، أنا مستني الـهيدفون ده من مدة طويلة جداً في انتظار ردكم","track_order","negative","high"
"بجد أنا مستني الـشاحن ده من مدة طويلة جداً","track_order","negative","high"
"أنا مستني الـماوس ده من مدة طويلة جداً","track_order","negative","high"
"على فكرة، أنا مستني الـلابتوب ده من مدة طويلة جداً وشكراً لتعاونكم","track_order","negative","high"
"على فكرة، أنا مستني الـتابلت ده من مدة طويلة جداً ياريت حد يرد عليا","track_order","negative","high"
"طب أنا مستني الـموبايل ده من مدة طويلة جداً في انتظار ردكم","track_order","negative","high"
"معلش، أنا مستني الـتابلت ده من مدة طويلة جداً","track_order","negative","high"
"لو سمحت، أنا مستني الـموبايل ده من مدة طويلة جداً ياريت حد يرد عليا","track_order","negative","high"
"معلش، أنا مستني الـهيدفون ده من مدة طويلة جداً ياريت حد يرد عليا","track_order","negative","high"
"لو سمحت، اتأخر الطلب أوي وأنا مش عارف اتصرف إزاي","track_order","negative","high"
"اتأخر الطلب أوي وأنا مش عارف اتصرف ازاي برجاء الإفادة","track_order","negative","high"
"اتأخر الطلب أوي وأنا مش عارف اتصرف إزاي ياريت حد يرد عليا","track_order","negative","high"
"من فضلك، اتأخر الطلب أوي وأنا مش عارف اتصرف ازاي برجاء الإفادة","track_order","negative","high"
"معلش، اتأخر الطلب أوي وأنا مش عارف اتصرف إزاي ياريت حد يرد عليا","track_order","negative","high"
"اتأخر الطلب أوي وأنا مش عارف اتصرف إزاي","track_order","negative","high"
"على فكرة، اتأخر الطلب أوي وأنا مش عارف اتصرف ازاي","track_order","negative","high"
"على فكرة، اتأخر الطلب أوي وأنا مش عارف اتصرف إزاي ياريت حد يرد عليا","track_order","negative","high"
"من فضلك، اتأخر الطلب أوي وأنا مش عارف اتصرف ازاي","track_order","negative","high"
"اتأخر الطلب أوي وأنا مش عارف اتصرف ازاي في انتظار ردكم","track_order","negative","high"
"على فكرة، اتأخر الطلب أوي وأنا مش عارف اتصرف إزاي برجاء الإفادة","track_order","negative","high"
"بجد اتأخر الطلب أوي وأنا مش عارف اتصرف ازاي برجاء الإفادة","track_order","negative","high"
"بجد عايز أعرف الطلب فين وصل بالظبط","track_order","neutral","medium"
"عاوز أعرف الطلب فين وصل بالظبط برجاء الإفادة","track_order","neutral","medium"
"بجد عاوز أعرف الطلب فين وصل بالظبط ياريت حد يرد عليا","track_order","neutral","medium"
"طب عايز أعرف الطلب فين وصل بالظبط وشكراً لتعاونكم","track_order","neutral","medium"
"لو سمحت، عايز أعرف الطلب فين وصل بالظبط في انتظار ردكم","track_order","neutral","medium"
"طب عايز أعرف الطلب فين وصل بالظبط برجاء الإفادة","track_order","neutral","medium"
"عاوز أعرف الطلب فين وصل بالظبط ياريت حد يرد عليا","track_order","neutral","medium"
"من فضلك، عاوز أعرف الطلب فين وصل بالظبط وشكراً لتعاونكم","track_order","neutral","medium"
"معلش، عايز أعرف الطلب فين وصل بالظبط ياريت حد يرد عليا","track_order","neutral","medium"
"لو سمحت، عايز أعرف الطلب فين وصل بالظبط وشكراً لتعاونكم","track_order","neutral","medium"
"على فكرة، عايز أعرف الطلب فين وصل بالظبط في انتظار ردكم","track_order","neutral","medium"
"لو سمحت، عاوز أعرف الطلب فين وصل بالظبط","track_order","neutral","medium"
"من فضلك، مفيش مشكلة في الوقت، بس عاوز أطمن على الأوردر","track_order","neutral","low"
"طب مفيش مشكلة في الوقت، بس عايز أطمن على الأوردر في انتظار ردكم","track_order","neutral","low"
"على فكرة، مفيش مشكلة في الوقت، بس عايز أطمن على الأوردر في انتظار ردكم","track_order","neutral","low"
"على فكرة، مفيش مشكلة في الوقت، بس عايز أطمن على الأوردر ياريت حد يرد عليا","track_order","neutral","low"
"بجد مفيش مشكلة في الوقت، بس عايز أطمن على الأوردر في انتظار ردكم","track_order","neutral","low"
"طب مفيش مشكلة في الوقت، بس عايز أطمن على الأوردر ياريت حد يرد عليا","track_order","neutral","low"
"بجد مفيش مشكلة في الوقت، بس عايز أطمن على الأوردر","track_order","neutral","low"
"مفيش مشكلة في الوقت، بس عاوز أطمن على الأوردر وشكراً لتعاونكم","track_order","neutral","low"
"بجد مفيش مشكلة في الوقت، بس عايز أطمن على الاوردر برجاء الإفادة","track_order","neutral","low"
"من فضلك، مفيش مشكلة في الوقت، بس عايز أطمن على الأوردر في انتظار ردكم","track_order","neutral","low"
"مفيش مشكلة في الوقت، بس عايز أطمن على الأوردر برجاء الإفادة","track_order","neutral","low"
"مفيش مشكلة في الوقت، بس عايز أطمن على الأوردر ياريت حد يرد عليا","track_order","neutral","low"
"الطلب اتأخر جداً وأنا معايا مناسبة النهاردة ومحتاجه","track_order","negative","high"
"بجد الطلب اتاخر جداً وأنا معايا مناسبة النهاردة ومحتاجه في انتظار ردكم","track_order","negative","high"
"طب الطلب اتأخر جداً وأنا معايا مناسبة النهاردة ومحتاجه في انتظار ردكم","track_order","negative","high"
"بجد الطلب اتاخر جداً وأنا معايا مناسبة النهاردة ومحتاجه وشكراً لتعاونكم","track_order","negative","high"
"طب الطلب اتأخر جداً وأنا معايا مناسبة النهاردة ومحتاجه برجاء الإفادة","track_order","negative","high"
"لو سمحت، الطلب اتأخر جداً وأنا معايا مناسبة النهاردة ومحتاجه في انتظار ردكم","track_order","negative","high"
"على فكرة، الطلب اتاخر جداً وأنا معايا مناسبة النهاردة ومحتاجه ياريت حد يرد عليا","track_order","negative","high"
"طب الطلب اتاخر جداً وأنا معايا مناسبة النهاردة ومحتاجه ياريت حد يرد عليا","track_order","negative","high"
"على فكرة، الطلب اتاخر جداً وأنا معايا مناسبة النهاردة ومحتاجه برجاء الإفادة","track_order","negative","high"
"من فضلك، الطلب اتأخر جداً وأنا معايا مناسبة النهاردة ومحتاجه ياريت حد يرد عليا","track_order","negative","high"
"معلش، الطلب اتاخر جداً وأنا معايا مناسبة النهاردة ومحتاجه وشكراً لتعاونكم","track_order","negative","high"
"بجد الطلب اتأخر جداً وأنا معايا مناسبة النهاردة ومحتاجه ياريت حد يرد عليا","track_order","negative","high"
"طلبي المفروض يوصل امتى؟ وشكراً لتعاونكم","track_order","neutral","medium"
"بجد طلبي المفروض يوصل امتى؟ في انتظار ردكم","track_order","neutral","medium"
"من فضلك، طلبي المفروض يوصل امتى؟ في انتظار ردكم","track_order","neutral","medium"
"طلبي المفروض يوصل امتى؟ في انتظار ردكم","track_order","neutral","medium"
"على فكرة، طلبي المفروض يوصل امتى؟ ياريت حد يرد عليا","track_order","neutral","medium"
"بجد طلبي المفروض يوصل امتى؟","track_order","neutral","medium"
"طب طلبي المفروض يوصل امتى؟","track_order","neutral","medium"
"معلش، طلبي المفروض يوصل امتى؟ برجاء الإفادة","track_order","neutral","medium"
"معلش، طلبي المفروض يوصل امتى؟ في انتظار ردكم","track_order","neutral","medium"
"طب طلبي المفروض يوصل امتى؟ في انتظار ردكم","track_order","neutral","medium"
"طلبي المفروض يوصل امتى؟","track_order","neutral","medium"
"معلش، طلبي المفروض يوصل امتى؟ ياريت حد يرد عليا","track_order","neutral","medium"
"لو سمحت، الأوردر بتاعي اتاخر شوية، فين وصل؟ وشكراً لتعاونكم","track_order","neutral","medium"
"معلش، الأوردر بتاعي اتاخر شوية، فين وصل؟ في انتظار ردكم","track_order","neutral","medium"
"بجد الاوردر بتاعي اتأخر شوية، فين وصل؟ وشكراً لتعاونكم","track_order","neutral","medium"
"على فكرة، الأوردر بتاعي اتأخر شوية، فين وصل؟","track_order","neutral","medium"
"لو سمحت، الاوردر بتاعي اتأخر شوية، فين وصل؟ برجاء الإفادة","track_order","neutral","medium"
"طب الأوردر بتاعي اتاخر شوية، فين وصل؟ برجاء الإفادة","track_order","neutral","medium"
"على فكرة، الأوردر بتاعي اتاخر شوية، فين وصل؟ برجاء الإفادة","track_order","neutral","medium"
"من فضلك، الأوردر بتاعي اتاخر شوية، فين وصل؟ برجاء الإفادة","track_order","neutral","medium"
"معلش، الأوردر بتاعي اتأخر شوية، فين وصل؟ وشكراً لتعاونكم","track_order","neutral","medium"
"بجد الأوردر بتاعي اتأخر شوية، فين وصل؟ ياريت حد يرد عليا","track_order","neutral","medium"
"بجد الأوردر بتاعي اتأخر شوية، فين وصل؟ في انتظار ردكم","track_order","neutral","medium"
"بجد الاوردر بتاعي اتأخر شوية، فين وصل؟ برجاء الإفادة","track_order","neutral","medium"
"من فضلك، محتاج رد سريع، الطلب اتأخر ومعنديش وقت في انتظار ردكم","track_order","negative","high"
"لو سمحت، محتاج رد سريع، الطلب اتأخر ومعنديش وقت في انتظار ردكم","track_order","negative","high"
"من فضلك، محتاج رد سريع، الطلب اتاخر ومعنديش وقت وشكراً لتعاونكم","track_order","negative","high"
"محتاج رد سريع، الطلب اتاخر ومعنديش وقت","track_order","negative","high"
"معلش، محتاج رد سريع، الطلب اتاخر ومعنديش وقت ياريت حد يرد عليا","track_order","negative","high"
"لو سمحت، محتاج رد سريع، الطلب اتأخر ومعنديش وقت","track_order","negative","high"
"طب محتاج رد سريع، الطلب اتأخر ومعنديش وقت ياريت حد يرد عليا","track_order","negative","high"
"طب محتاج رد سريع، الطلب اتاخر ومعنديش وقت في انتظار ردكم","track_order","negative","high"
"طب محتاج رد سريع، الطلب اتأخر ومعنديش وقت","track_order","negative","high"
"على فكرة، محتاج رد سريع، الطلب اتأخر ومعنديش وقت وشكراً لتعاونكم","track_order","negative","high"
"معلش، محتاج رد سريع، الطلب اتأخر ومعنديش وقت في انتظار ردكم","track_order","negative","high"
"معلش، محتاج رد سريع، الطلب اتاخر ومعنديش وقت برجاء الإفادة","track_order","negative","high"
"على فكرة، محتاج الـشاشة ضروري وأنا لسه مستني الشحنه وشكراً لتعاونكم","track_order","negative","high"
"لو سمحت، محتاج الـكيبورد ضروري وأنا لسه مستني الشحنة برجاء الإفادة","track_order","negative","high"
"بجد محتاج الـسماعة ضروري وأنا لسه مستني الشحنة في انتظار ردكم","track_order","negative","high"
"معلش، محتاج الـباور بانك ضروري وأنا لسه مستني الشحنه وشكراً لتعاونكم","track_order","negative","high"
"بجد محتاج الـباور بانك ضروري وأنا لسه مستني الشحنة ياريت حد يرد عليا","track_order","negative","high"
"لو سمحت، محتاج الـتابلت ضروري وأنا لسا مستني الشحنة","track_order","negative","high"
"لو سمحت، محتاج الـماوس ضروري وأنا لسه مستني الشحنة ياريت حد يرد عليا","track_order","negative","high"
"محتاج الـكاميرا ضروري وأنا لسه مستني الشحنه برجاء الإفادة","track_order","negative","high"
"محتاج الـتابلت ضروري وأنا لسه مستني الشحنه وشكراً لتعاونكم","track_order","negative","high"
"من فضلك، محتاج الـسماعة ضروري وأنا لسه مستني الشحنة ياريت حد يرد عليا","track_order","negative","high"
"طب محتاج الـلابتوب ضروري وأنا لسه مستني الشحنه برجاء الإفادة","track_order","negative","high"
"طب محتاج الـهيدفون ضروري وأنا لسه مستني الشحنه","track_order","negative","high"
"طب محتاج الـسماعة ضروري وأنا لسه مستني الشحنة وشكراً لتعاونكم","track_order","negative","high"
"على فكرة، محتاج الـشاحن ضروري وأنا لسه مستني الشحنة","track_order","negative","high"
"معلش، محتاج الـباور بانك ضروري وأنا لسه مستني الشحنة في انتظار ردكم","track_order","negative","high"
"على فكرة، محتاج الـتابلت ضروري وأنا لسه مستني الشحنة في انتظار ردكم","track_order","negative","high"
"معلش، محتاج الـشاشة ضروري وأنا لسه مستني الشحنة","track_order","negative","high"
"بجد محتاج الـهيدفون ضروري وأنا لسا مستني الشحنة في انتظار ردكم","track_order","negative","high"
"طب محتاج الـسماعة ضروري وأنا لسا مستني الشحنة ياريت حد يرد عليا","track_order","negative","high"
"الشحنة اتاخرت أكتر من المعقول وأنا مستعجل جداً","track_order","negative","high"
"لو سمحت، الشحنه اتأخرت أكتر من المعقول وأنا مستعجل جداً في انتظار ردكم","track_order","negative","high"
"من فضلك، الشحنة اتأخرت أكتر من المعقول وأنا مستعجل جداً في انتظار ردكم","track_order","negative","high"
"معلش، الشحنه اتأخرت أكتر من المعقول وأنا مستعجل جداً في انتظار ردكم","track_order","negative","high"
"الشحنة اتأخرت أكتر من المعقول وأنا مستعجل جداً ياريت حد يرد عليا","track_order","negative","high"
"بجد الشحنة اتاخرت أكتر من المعقول وأنا مستعجل جداً برجاء الإفادة","track_order","negative","high"
"معلش، الشحنة اتاخرت أكتر من المعقول وأنا مستعجل جداً برجاء الإفادة","track_order","negative","high"
"الشحنه اتأخرت أكتر من المعقول وأنا مستعجل جداً وشكراً لتعاونكم","track_order","negative","high"
"لو سمحت، الشحنة اتأخرت أكتر من المعقول وأنا مستعجل جداً وشكراً لتعاونكم","track_order","negative","high"
"طب الشحنة اتأخرت أكتر من المعقول وأنا مستعجل جداً ياريت حد يرد عليا","track_order","negative","high"
"طب الشحنة اتأخرت أكتر من المعقول وأنا مستعجل جداً في انتظار ردكم","track_order","negative","high"
"معلش، الشحنه اتأخرت أكتر من المعقول وأنا مستعجل جداً","track_order","negative","high"
"لو سمحت، الطلب بياخد وقت أكتر من المتوقع شوية برجاء الإفادة","track_order","negative","medium"
"من فضلك، الطلب بياخد وقت أكتر من المتوقع شوية ياريت حد يرد عليا","track_order","negative","medium"
"طب الطلب بياخد وقت أكتر من المتوقع شوية","track_order","negative","medium"
"معلش، الطلب بياخد وقت أكتر من المتوقع شوية وشكراً لتعاونكم","track_order","negative","medium"
"طب الطلب بياخد وقت أكتر من المتوقع شوية ياريت حد يرد عليا","track_order","negative","medium"
"الطلب بياخد وقت أكتر من المتوقع شوية ياريت حد يرد عليا","track_order","negative","medium"
"لو سمحت، الطلب بياخد وقت أكتر من المتوقع شوية في انتظار ردكم","track_order","negative","medium"
"الطلب بياخد وقت أكتر من المتوقع شوية برجاء الإفادة","track_order","negative","medium"
"على فكرة، الطلب بياخد وقت أكتر من المتوقع شوية ياريت حد يرد عليا","track_order","negative","medium"
"الطلب بياخد وقت أكتر من المتوقع شوية","track_order","negative","medium"
"بجد الطلب بياخد وقت أكتر من المتوقع شوية وشكراً لتعاونكم","track_order","negative","medium"
"على فكرة، الطلب بياخد وقت أكتر من المتوقع شوية وشكراً لتعاونكم","track_order","negative","medium"
"معلش، الطلب متاخر بقاله أسبوع وأنا محتاجه ضروري النهاردة ياريت حد يرد عليا","track_order","negative","high"
"من فضلك، الطلب متاخر بقاله أسبوع وأنا محتاجه ضروري النهاردة في انتظار ردكم","track_order","negative","high"
"بجد الطلب متأخر بقاله أسبوع وأنا محتاجه ضروري النهاردة وشكراً لتعاونكم","track_order","negative","high"
"على فكرة، الطلب متأخر بقاله أسبوع وأنا محتاجه ضروري النهاردة برجاء الإفادة","track_order","negative","high"
"معلش، الطلب متاخر بقاله أسبوع وأنا محتاجه ضروري النهاردة","track_order","negative","high"
"الطلب متأخر بقاله أسبوع وأنا محتاجه ضروري النهاردة برجاء الإفادة","track_order","negative","high"
"على فكرة، الطلب متأخر بقاله أسبوع وأنا محتاجه ضروري النهاردة وشكراً لتعاونكم","track_order","negative","high"
"من فضلك، الطلب متأخر بقاله أسبوع وأنا محتاجه ضروري النهاردة وشكراً لتعاونكم","track_order","negative","high"
"من فضلك، الطلب متاخر بقاله أسبوع وأنا محتاجه ضروري النهاردة ياريت حد يرد عليا","track_order","negative","high"
"الطلب متأخر بقاله أسبوع وأنا محتاجه ضروري النهاردة","track_order","negative","high"
"معلش، الطلب متاخر بقاله أسبوع وأنا محتاجه ضروري النهاردة في انتظار ردكم","track_order","negative","high"
"على فكرة، الطلب متأخر بقاله أسبوع وأنا محتاجه ضروري النهاردة","track_order","negative","high"
"على فكرة، استلمت الساعة الذكية وكل حاجة مظبوطة، شكراً","track_order","positive","low"
"استلمت الـسماعة وكل حاجة مظبوطة، شكراً برجاء الإفادة","track_order","positive","low"
"بجد استلمت الـسماعة وكل حاجة مظبوطة، شكراً وشكراً لتعاونكم","track_order","positive","low"
"استلمت الساعة الذكية وكل حاجة مظبوطة، شكراً في انتظار ردكم","track_order","positive","low"
"استلمت الـتابلت وكل حاجة مظبوطة، شكراً وشكراً لتعاونكم","track_order","positive","low"
"بجد استلمت الـموبايل وكل حاجة مظبوطة، شكراً ياريت حد يرد عليا","track_order","positive","low"
"طب استلمت الـتابلت وكل حاجة مظبوطة، شكراً برجاء الإفادة","track_order","positive","low"
"استلمت الـتابلت وكل حاجة مظبوطة، شكراً في انتظار ردكم","track_order","positive","low"
"على فكرة، استلمت الـسماعة وكل حاجة مظبوطة، شكراً وشكراً لتعاونكم","track_order","positive","low"
"معلش، استلمت الـموبايل وكل حاجة مظبوطة، شكراً","track_order","positive","low"
"من فضلك، استلمت الـكاميرا وكل حاجة مظبوطة، شكراً وشكراً لتعاونكم","track_order","positive","low"
"على فكرة، استلمت الـلابتوب وكل حاجة مظبوطة، شكراً برجاء الإفادة","track_order","positive","low"
"بجد استلمت الـسماعة وكل حاجة مظبوطة، شكراً برجاء الإفادة","track_order","positive","low"
"طب استلمت الـموبايل وكل حاجة مظبوطة، شكراً في انتظار ردكم","track_order","positive","low"
"طب استلمت الـلابتوب وكل حاجة مظبوطة، شكراً ياريت حد يرد عليا","track_order","positive","low"
"معلش، استلمت الـباور بانك وكل حاجة مظبوطة، شكراً ياريت حد يرد عليا","track_order","positive","low"
"طب حبيت أقولكم ان الأوردر #1003 وصل بسلامة ياريت حد يرد عليا","track_order","positive","low"
"حبيت أقولكم ان الاوردر #1003 وصل بسلامة وشكراً لتعاونكم","track_order","positive","low"
"على فكرة، حبيت أقولكم ان الاوردر #1003 وصل بسلامة وشكراً لتعاونكم","track_order","positive","low"
"من فضلك، حبيت أقولكم ان الاوردر #1001 وصل بسلامة ياريت حد يرد عليا","track_order","positive","low"
"بجد حبيت أقولكم ان الأوردر #1003 وصل بسلامة برجاء الإفادة","track_order","positive","low"
"لو سمحت، حبيت أقولكم ان الاوردر #1003 وصل بسلامة ياريت حد يرد عليا","track_order","positive","low"
"طب حبيت أقولكم ان الأوردر #1001 وصل بسلامة","track_order","positive","low"
